menu,restaurant,happy_winter,happy_winter_snow,happy_winter_rain,happy_fall,happy_fall_rain,happy_summer,happy_summer_rain,happy_spring,happy_spring_rain,sad_spring_rain,sad_spring,sad_summer_rain,sad_summer,sad_fall_rain,sad_fall,sad_winter_rain,sad_winter,sad_winter_snow,angry_winter,angry_winter_snow,angry_winter_rain,angry_fall,angry_fall_rain,angry_summer,angry_summer_rain,angry_spring,angry_spring_rain
인생물냉면,인생설렁탕,0.1,-0.25,-0.05,0.55,0.4,0.5,0.35,0.6,0.45,0.95,1.1,0.85,1,0.9,1.05,0.45,0.6,0.45,0,-0.35,-0.15,0.45,0.3,0.4,0.25,0.5,0.35
인생비빔냉면,인생설렁탕,0.1,-0.25,-0.05,0.55,0.4,0.5,0.35,0.6,0.45,0.95,1.1,0.85,1,0.9,1.05,0.45,0.6,0.45,0,-0.35,-0.15,0.45,0.3,0.4,0.25,0.5,0.35
마라샹궈,리춘시장,0.15,0.15,0.45,0.15,0.45,0,0.3,0,0.3,0.9,0.6,0.9,0.6,1.05,0.75,1.05,0.75,1.05,1.05,1.05,1.35,1.05,1.35,0.9,1.2,0.9,1.2
마라탕,리춘시장,0.15,0.15,0.45,0.15,0.45,0.1,0.4,0,0.3,0.9,0.6,1,0.7,1.05,0.75,1.05,0.75,1.05,1.05,1.05,1.35,1.05,1.35,1,1.3,0.9,1.2
마라편,리춘시장,0.15,0.15,0.45,0.15,0.45,0,0.3,0,0.3,0.9,0.6,0.9,0.6,1.05,0.75,1.05,0.75,1.05,1.05,1.05,1.35,1.05,1.35,0.9,1.2,0.9,1.2
마라감튀,리춘시장,0.15,0.15,0.45,0.15,0.45,0,0.3,0,0.3,0.9,0.6,0.9,0.6,1.05,0.75,1.05,0.75,1.05,1.05,1.05,1.35,1.05,1.35,0.9,1.2,0.9,1.2
마라바지락볶음,리춘시장,0.15,0.15,0.45,0.15,0.45,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.85,0.55,0.85,0.55,0.85,1.05,1.05,1.35,1.05,1.35,0.9,1.2,0.9,1.2
마라볶음밥,리춘시장,0.15,0.15,0.45,0.15,0.45,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.85,0.55,0.85,0.55,0.85,1.05,1.05,1.35,1.05,1.35,0.9,1.2,0.9,1.2
사막깐풍기,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
향라고추윙봉,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
멘바샥,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
뚝배기마파두부,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.7,0.7,1,0.7,1,0.7,1,0.7,1
고추듬뿍유린기,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
뚝배기어향가지,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
토마토계란볶음매운우삼겹건두부볶음,리춘시장,0.15,0.15,0.45,0.15,0.45,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.85,0.55,0.85,0.55,0.85,0.85,0.85,1.15,0.85,1.15,0.7,1,0.7,1
즈란닭꼬치,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.7,0.7,1,0.7,1,0.7,1,0.7,1
칠리새우,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
마요새우,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0.6,0.9,0,0,0.3,0,0.3,0,0.3,0,0.3
중화바지락볶음,리춘시장,0,0,0.3,0,0.3,0,0.3,0,0.3,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.7,0.7,1,0.7,1,0.7,1,0.7,1
